epoch,train_aug/loss,train_aug/accuracy,train_eval/loss,train_eval/accuracy,val/loss,val/accuracy
1,0.9681121691300051,0.5255474452554745,0.6890177261220277,0.7094890510948905,0.781620267778635,0.6319444444444444
2,0.6924531152648647,0.7489051094890511,0.4347034510904855,0.8394160583941606,0.5026496979925368,0.8472222222222222
3,0.6860466859636516,0.7605839416058394,0.4366514542677107,0.8277372262773722,0.5283673074510362,0.7777777777777778
4,0.6144961560729646,0.7941605839416058,0.30748142399927125,0.9051094890510949,0.40681325395901996,0.8611111111111112
5,0.5746292207362879,0.8116788321167884,0.279140382787607,0.9138686131386862,0.40057329419586396,0.8402777777777778
6,0.5641943348585254,0.8204379562043795,0.29217115381773373,0.9124087591240876,0.3788190434376399,0.8958333333333334
7,0.4924410581588745,0.8540145985401459,0.2205790061150154,0.9313868613138686,0.33432858768436646,0.8611111111111112
8,0.4865497899316523,0.8540145985401459,0.20617540004479623,0.9401459854014599,0.2634383547637198,0.9097222222222222
9,0.4261381414684936,0.8802919708029197,0.19950707285073552,0.92992700729927,0.41782312757439083,0.8194444444444444
10,0.48431709952598073,0.8540145985401459,0.14035757633238813,0.9766423357664233,0.29833534277147716,0.8819444444444444
11,0.39953242131393324,0.8978102189781022,0.16191791282953136,0.9562043795620438,0.38944217148754334,0.8333333333333334
12,0.4006235226227419,0.9124087591240876,0.15740884628391613,0.9562043795620438,0.352460374434789,0.8819444444444444
13,0.3769461189308306,0.9167883211678832,0.09652750107058644,0.9824817518248176,0.3289786210904519,0.8680555555555556
14,0.35860054327623686,0.9313868613138686,0.07260928088323261,0.9854014598540146,0.27303007224367726,0.9027777777777778
